DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
298,10,4.3443,7.180479,6.0191885,4.2489491,3.986,4.31232,8.0217754
299,10,5.1991,7.006532,5.341358,5.054502355,4.541,5.131988,8.039402
300,10,5.1335,7.434474,6.0588887,4.9284251,4.425,5.010408,8.0568667
301,10,5.6325,6.632185,5.37729,5.3897298,4.551,5.507896,8.074171
302,10,5.8654,7.37068,5.394526,5.6682432,4.577,5.773152,8.0913164
303,10,5.4027,7.338422,6.1145405,5.1924113,4.502,5.289308,7.3810635
304,10,4.963,6.956049,5.4277017,4.855192,4.469,4.921732,7.396943
305,11,4.9239,6.738154,5.4436504,4.7691398,4.427,4.847956,7.7261353
306,11,5.6481,7.326234,6.1658105,5.4214201,4.61,5.53058,7.7419097
307,11,5.5923,7.297057,5.474279,5.453333,4.666,5.546588,7.7575537
308,11,4.5575,7.64702,5.4889697,4.432609128,4.181,4.505976,7.7730693
309,11,4.3674,7.669611,6.212895,4.278723851,4.161,4.328824,7.788456
310,11,3.7819,7.497498,5.51529,3.7095426,3.62,3.762264,8.58283
311,11,4.8375,6.938372,5.521203,4.6967469,4.378,4.778824,8.598651
312,11,4.6255,7.413203,6.2538813,4.525073983,4.262,4.596552,8.614323
313,11,5.6129,7.431841,4.8583345,5.463799283,4.662,5.570556,8.629849
314,11,5.3995,7.523089,5.5663564,5.257251725,4.821,5.353092,9.426175
315,11,4.93,7.583825,6.292615,4.837572282,4.505,4.907508,9.442011
316,11,4.2721,7.142432,5.6066147,4.189028167,4.041,4.25078,9.45768
317,11,4.919,7.619712,5.6004883,4.7793664,4.505,4.864412,9.473181
318,11,4.5454,6.910187,5.611095,4.3722888,4.209,4.461072,8.711088
319,11,5.2539,7.397642,6.33829,5.0651121,4.825,5.16132,8.72573
320,11,5.0975,7.227362,5.344908,4.950733721,4.726,5.043508,8.740225
321,11,5.3867,7.241577,5.629863,5.195187193,4.866,5.295252,8.754568
