,G_Dh
2416,83.422
2417,37.649
2418,2.453
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,0.261
2429,27.19
2430,75.585
2431,129.956
2432,157.54
2433,181.705
2434,220.208
2435,223.327
2436,236.22
2437,201.787
2438,163.576
2439,128.523
2440,90.617
2441,42.298
2442,3.484
2443,0
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0.287
2453,30.541
2454,83.529
2455,127.434
2456,162.928
2457,202.676
2458,238.316
2459,260.742
2460,244.884
2461,232.687
2462,186.981
2463,149.367
2464,102.687
2465,47.16
2466,4.493
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,0
2475,0
2476,0.958
